Số thứ tự,Folder,ID,"Tay
T (trái)/
P (phải)/
2 (cả 2 tay)","N (Bàn tay bình thường)
A (Anomaly Bàn tay bị bất bình thường như: bị dị tật, cụt ngón tay … cần phải loại) ","Góc xoay (bao nhiêu độ) để hướng từ cổ tay đến ngón tay giữa hướng lên trên (chỉ thực hiện đối với ảnh tay trái, tay phải, file giữ nguyên thì góc xoay là 0, không thực hiện với ảnh 2 bàn tay và ảnh bị loại)","Mau nen gan nhat xung quanh ban tay
D (Đen)/ 
T (Trắng) "
No. 10001,train1,12693,T,,0,
No. 10002,train1,12694,T,,353,
No. 10003,train1,12696,T,,3,
No. 10004,train1,12697,T,,5,
No. 10005,train1,12698,T,,3,
No. 10006,train1,12699,T,,10,
No. 10007,train1,12700,T,,0,
No. 10008,train1,12701,T,,350,
No. 10009,train1,12702,T,,7,
No. 10010,train1,12703,T,,13,
No. 10011,train1,12704,T,,6,
No. 10012,train1,12705,T,,5,
No. 10013,train1,12706,T,,10,
No. 10014,train1,12707,T,,5,
No. 10015,train1,12709,T,,358,
No. 10016,train1,12710,T,,0,
No. 10017,train1,12711,T,,0,
No. 10018,train1,12712,T,,5,
No. 10019,train1,12713,T,,15,
No. 10020,train1,12714,T,,353,
No. 10021,train1,12715,T,,0,
No. 10022,train1,12716,T,,0,
No. 10023,train1,12717,T,,0,
No. 10024,train1,12718,T,,3,
No. 10025,train1,12719,T,,0,
No. 10026,train1,12720,T,,0,
No. 10027,train1,12721,T,,7,
No. 10028,train1,12722,T,,0,
No. 10029,train1,12723,T,,12,
No. 10030,train1,12724,T,,0,
No. 10031,train1,12726,T,,355,
No. 10032,train1,12727,T,,0,
No. 10033,train1,12728,T,,351,
No. 10034,train1,12729,T,,5,
No. 10035,train1,12730,T,,7,
No. 10036,train1,12731,T,,5,
No. 10037,train1,12732,T,,355,
No. 10038,train1,12733,T,,7,
No. 10039,train1,12734,T,,L,
No. 10040,train1,12735,T,,0,
No. 10041,train1,12736,T,,350,
No. 10042,train1,12737,T,,355,
No. 10043,train1,12738,T,,0,
No. 10044,train1,12739,T,,355,
No. 10045,train1,12740,T,,5,
No. 10046,train1,12741,T,,0,
No. 10047,train1,12742,T,,0,
No. 10048,train1,12743,T,,0,
No. 10049,train1,12744,T,,0,
No. 10050,train1,12745,T,,353,
No. 10051,train1,12746,T,,0,
No. 10052,train1,12747,T,,0,
No. 10053,train1,12749,T,,4,
No. 10054,train1,12750,T,,0,
No. 10055,train1,12751,T,,3,
No. 10056,train1,12752,T,,L,
No. 10057,train1,12753,T,,358,
No. 10058,train1,12754,T,,0,
No. 10059,train1,12755,T,,0,
No. 10060,train1,12756,T,,8,
No. 10061,train1,12757,T,,13,
